2025-01-12 03:04:09 - addr(ip='192.168.29.188', port=50353) -> addr(ip='18.66.63.108', port=443) - ESTABLISHED
2025-01-12 03:04:09 - addr(ip='192.168.29.188', port=50352) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:09 - addr(ip='192.168.29.188', port=50351) -> addr(ip='52.29.15.27', port=443) - ESTABLISHED
2025-01-12 03:04:14 - addr(ip='192.168.29.188', port=50356) -> addr(ip='18.164.217.15', port=443) - ESTABLISHED
2025-01-12 03:04:14 - addr(ip='192.168.29.188', port=50357) -> addr(ip='18.164.217.15', port=443) - ESTABLISHED
2025-01-12 03:04:14 - addr(ip='192.168.29.188', port=50355) -> addr(ip='18.66.63.108', port=443) - ESTABLISHED
2025-01-12 03:04:14 - addr(ip='192.168.29.188', port=50354) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:14 - addr(ip='192.168.29.188', port=50351) -> addr(ip='52.29.15.27', port=443) - FIN_WAIT1
2025-01-12 03:04:19 - addr(ip='192.168.29.188', port=50364) -> addr(ip='18.164.217.15', port=443) - ESTABLISHED
2025-01-12 03:04:19 - addr(ip='192.168.29.188', port=50360) -> addr(ip='18.66.63.108', port=443) - ESTABLISHED
2025-01-12 03:04:19 - addr(ip='192.168.29.188', port=50356) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:19 - addr(ip='192.168.29.188', port=50363) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:19 - addr(ip='192.168.29.188', port=50366) -> addr(ip='18.164.217.15', port=443) - ESTABLISHED
2025-01-12 03:04:19 - addr(ip='192.168.29.188', port=50361) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:19 - addr(ip='192.168.29.188', port=50362) -> addr(ip='18.66.63.108', port=443) - ESTABLISHED
2025-01-12 03:04:19 - addr(ip='192.168.29.188', port=50359) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:19 - addr(ip='192.168.29.188', port=50365) -> addr(ip='18.66.63.108', port=443) - ESTABLISHED
2025-01-12 03:04:19 - addr(ip='192.168.29.188', port=50353) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:19 - addr(ip='192.168.29.188', port=50351) -> addr(ip='52.29.15.27', port=443) - TIME_WAIT
2025-01-12 03:04:19 - addr(ip='192.168.29.188', port=50358) -> addr(ip='18.66.63.108', port=443) - ESTABLISHED
2025-01-12 03:04:24 - addr(ip='192.168.29.188', port=50355) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:24 - addr(ip='192.168.29.188', port=50362) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:24 - addr(ip='192.168.29.188', port=50368) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:24 - addr(ip='192.168.29.188', port=50370) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:24 - addr(ip='192.168.29.188', port=50358) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:24 - addr(ip='192.168.29.188', port=50360) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:24 - addr(ip='192.168.29.188', port=50371) -> addr(ip='18.66.63.108', port=443) - ESTABLISHED
2025-01-12 03:04:24 - addr(ip='192.168.29.188', port=50369) -> addr(ip='18.66.63.108', port=443) - ESTABLISHED
2025-01-12 03:04:24 - addr(ip='192.168.29.188', port=50366) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:24 - addr(ip='192.168.29.188', port=50367) -> addr(ip='18.66.63.108', port=443) - ESTABLISHED
2025-01-12 03:04:24 - addr(ip='192.168.29.188', port=50357) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:29 - addr(ip='192.168.29.188', port=50371) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:29 - addr(ip='192.168.29.188', port=50369) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:29 - addr(ip='192.168.29.188', port=50365) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:29 - addr(ip='192.168.29.188', port=50367) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:29 - addr(ip='192.168.29.188', port=50364) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:37 - addr(ip='192.168.29.188', port=50364) -> addr(ip='18.164.217.15', port=443) - TIME_WAIT
2025-01-12 03:04:37 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50334) -> addr(ip='2404:6800:4002:81f::2001', port=443) - ESTABLISHED
2025-01-12 03:04:37 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50318) -> addr(ip='2404:6800:4002:82d::200a', port=443) - TIME_WAIT
2025-01-12 03:04:37 - addr(ip='192.168.29.188', port=50353) -> addr(ip='18.66.63.108', port=443) - TIME_WAIT
2025-01-12 03:04:37 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50323) -> addr(ip='2404:6800:4002:822::200e', port=443) - TIME_WAIT
2025-01-12 03:04:37 - addr(ip='2405:201:6806:4831:c818:53cf:34bb:2b26', port=50327) -> addr(ip='2404:6800:4002:81f::2005', port=443) - ESTABLISHED
