2025-01-13 17:56:50 - System Idle Process (PID: 0) - CPU: 1079.2%, MEM: 0.00010386427017173957%
2025-01-13 17:57:50 - System Idle Process (PID: 0) - CPU: 1085.4%, MEM: 0.00010386427017173957%
2025-01-13 17:58:51 - System Idle Process (PID: 0) - CPU: 1090.9%, MEM: 0.00010386427017173957%
2025-01-13 17:59:52 - System Idle Process (PID: 0) - CPU: 1083.9%, MEM: 0.00010386427017173957%
2025-01-13 18:00:52 - System Idle Process (PID: 0) - CPU: 1080.1%, MEM: 0.00010386427017173957%
2025-01-13 18:01:53 - System Idle Process (PID: 0) - CPU: 1086.4%, MEM: 0.00010386427017173957%
2025-01-13 18:02:53 - System Idle Process (PID: 0) - CPU: 1089.4%, MEM: 0.00010386427017173957%
2025-01-13 18:03:54 - System Idle Process (PID: 0) - CPU: 1081.4%, MEM: 0.00010386427017173957%
2025-01-13 18:04:55 - System Idle Process (PID: 0) - CPU: 1056.0%, MEM: 0.00010386427017173957%
2025-01-13 18:05:55 - System Idle Process (PID: 0) - CPU: 1048.9%, MEM: 0.00010386427017173957%
2025-01-13 18:06:56 - System Idle Process (PID: 0) - CPU: 1085.9%, MEM: 0.00010386427017173957%
2025-01-13 18:07:57 - System Idle Process (PID: 0) - CPU: 1095.7%, MEM: 0.00010386427017173957%
2025-01-13 18:08:57 - System Idle Process (PID: 0) - CPU: 1081.3%, MEM: 0.00010386427017173957%
2025-01-13 18:09:58 - System Idle Process (PID: 0) - CPU: 1092.2%, MEM: 0.00010386427017173957%
2025-01-13 18:10:59 - System Idle Process (PID: 0) - CPU: 1087.6%, MEM: 0.00010386427017173957%
2025-01-13 18:12:00 - System Idle Process (PID: 0) - CPU: 1083.7%, MEM: 0.00010386427017173957%
2025-01-13 18:13:00 - System Idle Process (PID: 0) - CPU: 1077.1%, MEM: 0.00010386427017173957%
2025-01-13 18:14:01 - System Idle Process (PID: 0) - CPU: 1146.5%, MEM: 0.00010386427017173957%
2025-01-13 18:15:01 - System Idle Process (PID: 0) - CPU: 1085.7%, MEM: 0.00010386427017173957%
2025-01-13 18:16:02 - System Idle Process (PID: 0) - CPU: 1046.0%, MEM: 0.00010386427017173957%
2025-01-13 18:17:03 - System Idle Process (PID: 0) - CPU: 1083.0%, MEM: 0.00010386427017173957%
2025-01-13 18:18:03 - System Idle Process (PID: 0) - CPU: 1069.7%, MEM: 0.00010386427017173957%
2025-01-13 18:19:04 - System Idle Process (PID: 0) - CPU: 1089.2%, MEM: 0.00010386427017173957%
2025-01-13 18:20:05 - System Idle Process (PID: 0) - CPU: 1063.9%, MEM: 0.00010386427017173957%
2025-01-13 18:21:06 - System Idle Process (PID: 0) - CPU: 1076.3%, MEM: 0.00010386427017173957%
2025-01-13 18:22:06 - System Idle Process (PID: 0) - CPU: 1087.2%, MEM: 0.00010386427017173957%
2025-01-13 18:23:07 - System Idle Process (PID: 0) - CPU: 1085.1%, MEM: 0.00010386427017173957%
2025-01-13 18:24:08 - System Idle Process (PID: 0) - CPU: 1090.5%, MEM: 0.00010386427017173957%
2025-01-13 18:25:08 - System Idle Process (PID: 0) - CPU: 1068.3%, MEM: 0.00010386427017173957%
2025-01-13 18:26:09 - System Idle Process (PID: 0) - CPU: 1091.5%, MEM: 0.00010386427017173957%
2025-01-13 18:27:10 - System Idle Process (PID: 0) - CPU: 1091.0%, MEM: 0.00010386427017173957%
2025-01-13 18:28:10 - System Idle Process (PID: 0) - CPU: 1078.8%, MEM: 0.00010386427017173957%
2025-01-13 18:29:11 - System Idle Process (PID: 0) - CPU: 1091.1%, MEM: 0.00010386427017173957%
2025-01-13 18:30:12 - System Idle Process (PID: 0) - CPU: 1087.3%, MEM: 0.00010386427017173957%
2025-01-13 18:31:12 - System Idle Process (PID: 0) - CPU: 1088.5%, MEM: 0.00010386427017173957%
2025-01-13 18:32:13 - System Idle Process (PID: 0) - CPU: 1084.8%, MEM: 0.00010386427017173957%
2025-01-13 18:33:14 - System Idle Process (PID: 0) - CPU: 1092.8%, MEM: 0.00010386427017173957%
2025-01-13 18:34:14 - System Idle Process (PID: 0) - CPU: 1081.2%, MEM: 0.00010386427017173957%
2025-01-13 18:35:15 - System Idle Process (PID: 0) - CPU: 1042.1%, MEM: 0.00010386427017173957%
2025-01-13 18:36:16 - System Idle Process (PID: 0) - CPU: 1088.5%, MEM: 0.00010386427017173957%
2025-01-13 18:37:17 - System Idle Process (PID: 0) - CPU: 1071.6%, MEM: 0.00010386427017173957%
2025-01-13 18:38:17 - System Idle Process (PID: 0) - CPU: 1103.2%, MEM: 0.00010386427017173957%
2025-01-13 18:39:18 - System Idle Process (PID: 0) - CPU: 1095.3%, MEM: 0.00010386427017173957%
2025-01-13 18:40:19 - System Idle Process (PID: 0) - CPU: 1087.7%, MEM: 0.00010386427017173957%
2025-01-13 18:41:20 - System Idle Process (PID: 0) - CPU: 1095.5%, MEM: 0.00010386427017173957%
2025-01-13 18:42:20 - System Idle Process (PID: 0) - CPU: 1034.0%, MEM: 0.00010386427017173957%
2025-01-13 18:43:21 - System Idle Process (PID: 0) - CPU: 1089.3%, MEM: 0.00010386427017173957%
2025-01-13 18:44:22 - System Idle Process (PID: 0) - CPU: 1067.9%, MEM: 0.00010386427017173957%
2025-01-13 18:45:23 - System Idle Process (PID: 0) - CPU: 1061.0%, MEM: 0.00010386427017173957%
2025-01-13 18:46:24 - System Idle Process (PID: 0) - CPU: 1067.1%, MEM: 0.00010386427017173957%
2025-01-13 18:47:24 - System Idle Process (PID: 0) - CPU: 1048.3%, MEM: 0.00010386427017173957%
2025-01-13 18:48:25 - System Idle Process (PID: 0) - CPU: 1063.2%, MEM: 0.00010386427017173957%
2025-01-13 18:49:26 - System Idle Process (PID: 0) - CPU: 1066.4%, MEM: 0.00010386427017173957%
2025-01-13 18:50:27 - System Idle Process (PID: 0) - CPU: 1054.6%, MEM: 0.00010386427017173957%
2025-01-13 18:51:28 - System Idle Process (PID: 0) - CPU: 1066.0%, MEM: 0.00010386427017173957%
2025-01-13 18:52:29 - System Idle Process (PID: 0) - CPU: 1054.4%, MEM: 0.00010386427017173957%
2025-01-13 18:53:29 - System Idle Process (PID: 0) - CPU: 1078.6%, MEM: 0.00010386427017173957%
2025-01-13 18:54:30 - System Idle Process (PID: 0) - CPU: 1038.9%, MEM: 0.00010386427017173957%
2025-01-13 18:55:31 - System Idle Process (PID: 0) - CPU: 1025.3%, MEM: 0.00010386427017173957%
2025-01-13 18:56:32 - System Idle Process (PID: 0) - CPU: 1065.9%, MEM: 0.00010386427017173957%
2025-01-13 18:57:33 - System Idle Process (PID: 0) - CPU: 1067.1%, MEM: 0.00010386427017173957%
2025-01-13 18:58:34 - System Idle Process (PID: 0) - CPU: 1058.6%, MEM: 0.00010386427017173957%
2025-01-13 18:59:34 - System Idle Process (PID: 0) - CPU: 1060.5%, MEM: 0.00010386427017173957%
2025-01-13 19:00:35 - System Idle Process (PID: 0) - CPU: 1028.9%, MEM: 0.00010386427017173957%
2025-01-13 19:01:36 - System Idle Process (PID: 0) - CPU: 1069.5%, MEM: 0.00010386427017173957%
2025-01-13 19:02:37 - System Idle Process (PID: 0) - CPU: 1062.1%, MEM: 0.00010386427017173957%
2025-01-13 19:03:37 - System Idle Process (PID: 0) - CPU: 1065.9%, MEM: 0.00010386427017173957%
2025-01-13 19:04:38 - System Idle Process (PID: 0) - CPU: 1033.6%, MEM: 0.00010386427017173957%
2025-01-13 19:05:39 - System Idle Process (PID: 0) - CPU: 1047.3%, MEM: 0.00010386427017173957%
2025-01-13 19:06:40 - System Idle Process (PID: 0) - CPU: 1075.7%, MEM: 0.00010386427017173957%
2025-01-13 19:07:41 - System Idle Process (PID: 0) - CPU: 1017.8%, MEM: 0.00010386427017173957%
2025-01-13 19:08:42 - System Idle Process (PID: 0) - CPU: 1062.3%, MEM: 0.00010386427017173957%
2025-01-13 19:09:43 - System Idle Process (PID: 0) - CPU: 1066.9%, MEM: 0.00010386427017173957%
